Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S012,Adeje,13.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S013,Adeje,1.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S013,Adeje,7.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S014,Adeje,1.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S014,Adeje,10.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S015,Adeje,5.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S015,Adeje,7.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S016,Adeje,4.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S016,Adeje,6.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S017,Adeje,4.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S017,Adeje,12.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S018,Adeje,1.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S018,Adeje,2.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S001,Adeje,,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S001,Adeje,5.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S002,Adeje,4.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S002,Adeje,7.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S003,Adeje,6.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S003,Adeje,15.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S004,Adeje,11.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S004,Adeje,25.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S005,Adeje,16.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S005,Adeje,33.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S006,Adeje,12.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S006,Adeje,15.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S007,Adeje,2.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S007,Adeje,9.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S008,Adeje,1.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S008,Adeje,5.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S009,Adeje,4.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S009,Adeje,7.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S010,Adeje,4.0,2023,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S010,Adeje,5.0,2023,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20230101_38001_D01_S011,Adeje,11.0,2023,Santa Cruz de Tenerife,Mujeres
