año,MEDIDAS_CODE,MEDIDAS#es,TERRITORIO_CODE,distrito,seccion,municipio,OBS_VALUE
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S002,1,2, La Guancha,30113.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38018_D01_S003,1,3, La Guancha,31981.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S001,1,1, Guía de Isora,30024.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S002,1,2, Guía de Isora,30835.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S003,1,3, Guía de Isora,30105.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S004,1,4, Guía de Isora,33000.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S005,1,5, Guía de Isora,27898.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S007,1,7, Guía de Isora,30099.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S008,1,8, Guía de Isora,29250.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S009,1,9, Guía de Isora,27103.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S010,1,10, Guía de Isora,28095.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38019_D01_S011,1,11, Guía de Isora,31142.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S001,1,1, Güímar,38396.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S002,1,2, Güímar,34856.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S003,1,3, Güímar,38021.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S004,1,4, Güímar,39889.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S005,1,5, Güímar,32433.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S006,1,6, Güímar,32709.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S007,1,7, Güímar,32487.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S008,1,8, Güímar,32313.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S009,1,9, Güímar,24639.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S010,1,10, Güímar,46542.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S011,1,11, Güímar,31980.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D01_S012,1,12, Güímar,
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D02_S001,2,1, Güímar,34909.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D02_S002,2,2, Güímar,31860.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D03_S001,3,1, Güímar,29024.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38020_D03_S002,3,2, Güímar,27220.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38021_D01_S001,1,1, Hermigua,29881.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38021_D02_S001,2,1, Hermigua,33092.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S001,1,1, Icod de los Vinos,35729.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S002,1,2, Icod de los Vinos,32101.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S003,1,3, Icod de los Vinos,32359.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S004,1,4, Icod de los Vinos,30441.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S005,1,5, Icod de los Vinos,30790.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D01_S006,1,6, Icod de los Vinos,34554.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D02_S001,2,1, Icod de los Vinos,23497.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D02_S002,2,2, Icod de los Vinos,26262.0
2021,RENTA_BRUTA_MEDIA_HOGAR,Renta bruta media por hogar,20220101_38022_D03_S001,3,1, Icod de los Vinos,27987.0
