Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Hombres,Extranjera,Educación primaria e inferior,2022,0,Tijarafe,La Palma
Hombres,Extranjera,Educación primaria e inferior,2022,0,Valverde,El Hierro
Hombres,Española,Educación primaria e inferior,2022,0,Valle Gran Rey,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Valle Gran Rey,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Vallehermoso,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2022,0,Vilaflor De Chasna,Tenerife
Hombres,Española,Educación primaria e inferior,2022,0,El Pinar De El Hierro,El Hierro
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Agaete,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2022,0,Antigua,Fuerteventura
Mujeres,Española,Educación primaria e inferior,2021,0,Antigua,Fuerteventura
Mujeres,Española,Educación primaria e inferior,2022,0,Artenara,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2021,0,Artenara,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Artenara,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Artenara,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Arucas,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2022,0,Betancuria,Fuerteventura
Mujeres,Española,Educación primaria e inferior,2021,0,Betancuria,Fuerteventura
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Firgas,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Firgas,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2021,0,Haría,Lanzarote
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Haría,Lanzarote
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Haría,Lanzarote
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Moya,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Moya,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,La Aldea De San Nicolás,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,La Aldea De San Nicolás,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Santa Brígida,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Santa Brígida,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Telde,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Teror,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Valsequillo De Gran Canaria,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2021,0,Valsequillo De Gran Canaria,Gran Canaria
Mujeres,Española,Educación primaria e inferior,2022,0,Valleseco,Gran Canaria
Mujeres,Extranjera,Educación primaria e inferior,2022,0,Valleseco,Gran Canaria
