TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
San Bartolomé de Tirajana	2016	Distribución de la renta P80/P20	3		
San Bartolomé de Tirajana	2015	Distribución de la renta P80/P20	3.2		
La Aldea de San Nicolás	2023	Índice de Gini	27		
La Aldea de San Nicolás	2022	Índice de Gini	27.9		
La Aldea de San Nicolás	2021	Índice de Gini	27.6		
La Aldea de San Nicolás	2020	Índice de Gini	27		
La Aldea de San Nicolás	2019	Índice de Gini	27.1		
La Aldea de San Nicolás	2018	Índice de Gini	28		
La Aldea de San Nicolás	2017	Índice de Gini	28.4		
La Aldea de San Nicolás	2016	Índice de Gini	29.8		
La Aldea de San Nicolás	2015	Índice de Gini	29.7		
La Aldea de San Nicolás	2023	Distribución de la renta P80/P20	2.2		
La Aldea de San Nicolás	2022	Distribución de la renta P80/P20	2.3		
